TERM , D, IDF, TF-IDF
,273271,,0.0, 0.0,
"AngelList,1,,0.0, 0.0,
"Simple”,1,,0.0, 0.0,
"a,1,,0.0, 0.0,
"best,1,,0.0, 0.0,
"force,1,,0.0, 0.0,
"human",1,,0.0, 0.0,
"insurtechs",1,,0.0, 0.0,
"integration,1,,0.0, 0.0,
"platform",1,,0.0, 0.0,
"thin‐file",3,,0.0, 0.0,
$1,11,,0.0, 0.0,
$10,2,,0.0, 0.0,
$10m,1,,0.0, 0.0,
$11,1,,0.0, 0.0,
$12.3,1,,0.0, 0.0,
$140,1,,0.0, 0.0,
$15,1,,0.0, 0.0,
$17,1,,0.0, 0.0,
$190,1,,0.0, 0.0,
$1M,1,,0.0, 0.0,
$2.5,1,,0.0, 0.0,
$2.9,1,,0.0, 0.0,
$3,2,,0.0, 0.0,
$4.4,1,,0.0, 0.0,
$41.2,1,,0.0, 0.0,
$47.0,1,,0.0, 0.0,
$5,5,,0.0, 0.0,
$5,000,1,,0.0, 0.0,
$5.5,1,,0.0, 0.0,
$6.7,1,,0.0, 0.0,
$60,1,,0.0, 0.0,
$823,1,,0.0, 0.0,
%,84,,0.0, 0.0,
&,61,,0.0, 0.0,
'WannaCry',1,,0.0, 0.0,
'hot‐button',1,,0.0, 0.0,
(,229,,0.0, 0.0,
($,4,,0.0, 0.0,
($M)3,1,,0.0, 0.0,
(%,7,,0.0, 0.0,
(%),6,,0.0, 0.0,
(%)3,1,,0.0, 0.0,
(%)4,1,,0.0, 0.0,
(%)9,2,,0.0, 0.0,
(1,2,,0.0, 0.0,
(102%,1,,0.0, 0.0,
(2,5,,0.0, 0.0,
(200,1,,0.0, 0.0,
(2011‐2016)12,1,,0.0, 0.0,
(2012‐2015),1,,0.0, 0.0,
(23,1,,0.0, 0.0,
(3,1,,0.0, 0.0,
(4,1,,0.0, 0.0,
(ACH),1,,0.0, 0.0,
(AI),1,,0.0, 0.0,
(APIs),1,,0.0, 0.0,
(AWS),1,,0.0, 0.0,
(B2B),1,,0.0, 0.0,
(BIS).,1,,0.0, 0.0,
(BlackRock).11,1,,0.0, 0.0,
(CAGR),1,,0.0, 0.0,
(CONTINUED),1,,0.0, 0.0,
(Casey,1,,0.0, 0.0,
(Crowdfunded),2,,0.0, 0.0,
(Current),2,,0.0, 0.0,
(DB),1,,0.0, 0.0,
(DC),1,,0.0, 0.0,
(DLT),,1,,0.0, 0.0,
(DTCC),1,,0.0, 0.0,
(ETFs),1,,0.0, 0.0,
(End‐of‐year),1,,0.0, 0.0,
(FT).,1,,0.0, 0.0,
(FX).,1,,0.0, 0.0,
(Facilities),1,,0.0, 0.0,
(Global),1,,0.0, 0.0,
(HBR).,1,,0.0, 0.0,
(ICO’s),1,,0.0, 0.0,
(IFR),,1,,0.0, 0.0,
(ILS),,1,,0.0, 0.0,
(ISO,1,,0.0, 0.0,
(IT),1,,0.0, 0.0,
(Interchange,1,,0.0, 0.0,
(KYC),1,,0.0, 0.0,
(Life),3,,0.0, 0.0,
(MiFID,1,,0.0, 0.0,
(Normalized),2,,0.0, 0.0,
(OTC),1,,0.0, 0.0,
(P&C),7,,0.0, 0.0,
(P&C,,1,,0.0, 0.0,
(P&C/Life),4,,0.0, 0.0,
(PSD),1,,0.0, 0.0,
(PSD2),2,,0.0, 0.0,
(Project,1,,0.0, 0.0,
(Public),1,,0.0, 0.0,
(Quarterly),1,,0.0, 0.0,
(SEF),1,,0.0, 0.0,
(SEFs),1,,0.0, 0.0,
(Siri,,1,,0.0, 0.0,
(Stand‐Alone),1,,0.0, 0.0,
(UK),1,,0.0, 0.0,
(US)6,1,,0.0, 0.0,
(USA).,1,,0.0, 0.0,
(WOW),1,,0.0, 0.0,
(a,8,,0.0, 0.0,
(across,1,,0.0, 0.0,
(alpha),1,,0.0, 0.0,
(and,3,,0.0, 0.0,
(as,2,,0.0, 0.0,
(backed,1,,0.0, 0.0,
(benefits,1,,0.0, 0.0,
(billion),1,,0.0, 0.0,
(both,3,,0.0, 0.0,
(bps),1,,0.0, 0.0,
(cashless),1,,0.0, 0.0,
(churches,1,,0.0, 0.0,
(consumers,,1,,0.0, 0.0,
(continued),30,,0.0, 0.0,
(data,1,,0.0, 0.0,
(distribution),1,,0.0, 0.0,
(double‐digit),1,,0.0, 0.0,
(e.g.,35,,0.0, 0.0,
(especially,2,,0.0, 0.0,
(for,2,,0.0, 0.0,
(forbidding,1,,0.0, 0.0,
(funding,1,,0.0, 0.0,
(guaranteed,1,,0.0, 0.0,
(handled,1,,0.0, 0.0,
(i.e.,6,,0.0, 0.0,
(if,1,,0.0, 0.0,
(in,10,,0.0, 0.0,
(including,3,,0.0, 0.0,
(large,1,,0.0, 0.0,
(merchants,,1,,0.0, 0.0,
(million)12,1,,0.0, 0.0,
(million)14,15,1,,0.0, 0.0,
(million)4,1,,0.0, 0.0,
(mobile),1,,0.0, 0.0,
(no,1,,0.0, 0.0,
(or,1,,0.0, 0.0,
(particularly,1,,0.0, 0.0,
(per,2,,0.0, 0.0,
(perceived,1,,0.0, 0.0,
(raising,1,,0.0, 0.0,
(retail,1,,0.0, 0.0,
(risk,1,,0.0, 0.0,
(small,,1,,0.0, 0.0,
(such,4,,0.0, 0.0,
(the,2,,0.0, 0.0,
(transferring,1,,0.0, 0.0,
(typically,1,,0.0, 0.0,
(up,2,,0.0, 0.0,
(using,1,,0.0, 0.0,
(varies,1,,0.0, 0.0,
(where,1,,0.0, 0.0,
(which,1,,0.0, 0.0,
(wire,1,,0.0, 0.0,
(with,1,,0.0, 0.0,
(£,1,,0.0, 0.0,
(“smart”,,1,,0.0, 0.0,
),229,,0.0, 0.0,
*,4,,0.0, 0.0,
